dataset,method,n,paths_blocked_avg,leakage_avg,mask_size_avg,time_avg_s,memory_avg_mb
adult,delexp_canonical,50,47.16,0.141556246764078,3.4,0.015859971046447752,0.030319976806640624
adult,delgum,50,385.52,0.1505631890368429,7.14,0.12935420036315917,0.0
adult,delmin,50,0.0,-0.5454545454545457,13.0,0.05548454284667969,0.16693878173828125
airport,delexp_canonical,50,1.12,0.2706673344091436,2.92,0.006505355834960937,0.008474578857421875
airport,delgum,50,0.68,0.3436442894863208,3.1,0.003609757423400879,0.0
airport,delmin,50,0.0,-0.6000000000000005,7.0,0.015894436836242677,0.0227508544921875
flight,delexp_canonical,50,18.68,0.5434145685490905,2.7,0.03777997493743897,0.055536651611328126
flight,delgum,50,805.52,0.8374235333023421,7.44,0.4515992164611816,0.0
flight,delmin,50,0.0,-0.541666666666667,14.0,0.08838177680969238,0.2213287353515625
hospital,delexp_canonical,50,5.68,0.48741388498155097,1.66,0.00935638427734375,0.01817657470703125
hospital,delgum,50,160.92,0.4772946844511782,5.62,0.034778108596801756,0.0
hospital,delmin,50,0.0,-0.5555555555555561,11.0,0.03792699813842773,0.081298828125
tax,delexp_canonical,50,0.0,0.0,2.1,0.008736944198608399,0.014952850341796876
tax,delgum,50,1.16,0.554699551364614,2.66,0.0073614978790283205,0.0
tax,delmin,50,0.0,-0.75,4.0,0.018300800323486327,0.0306549072265625
