epsilon,E_Leakage,E_MaskSize,E_Surprisal,MAP_Mask
0.0,0.9303634899352115,2.0,2.664466279284067,[]
0.1,0.9277381745874157,2.0038173231657117,2.627459291852068,"['Age', 'BMI', 'Gender', 'Res']"
0.25,0.9236064576389481,2.009977774618844,2.571857110452024,"['Age', 'BMI', 'Gender', 'Res']"
0.5,0.9161756932535245,2.0214693027922848,2.479032256911876,"['Age', 'BMI', 'Gender', 'Res']"
0.75,0.9080177892794897,2.0346004406901845,2.386160082363471,"['Age', 'BMI', 'Gender', 'Res']"
1.0,0.8990781238338313,2.0495007674047905,2.293408564754174,"['Age', 'BMI', 'Gender', 'Res']"
1.5,0.8786333102106032,2.0851366157572273,2.108938821949266,"['Age', 'BMI', 'Gender', 'Res']"
2.0,0.8544108875326019,2.1294214430878915,1.9269669230251196,"['Age', 'BMI', 'Gender', 'Res']"
3.0,0.7931790524579354,2.247614743519191,1.5759018477540092,"['Age', 'BMI', 'Gender', 'Res']"
5.0,0.6177037633407524,2.610379331396407,0.9615594822747361,"['Age', 'BMI', 'Gender', 'Res']"
8.0,0.30365643936338693,3.2982826235527205,0.36191211883445495,"['Age', 'BMI', 'Gender', 'Res']"
